52,4,5,6,7,25,26,27,28,29,30,31,32,33,15,16,17,40,41,42,43,44,45,46,47,48,49,50,0,1,2,3,11,12,13,20,21,22,23,24,39,8,9,10,37,38,36,14,34,35,18,19,4,141
52,43,30,31,32,33,34,35,36,37,13,20,21,22,23,24,25,9,10,11,12,26,6,7,8,46,47,48,49,50,0,1,2,3,4,5,28,29,44,45,41,16,17,18,15,38,39,40,19,14,27,42,43,164
52,21,22,23,20,48,49,50,15,16,17,31,32,33,34,35,36,28,29,30,4,44,45,46,47,0,1,2,3,11,12,13,14,19,8,9,24,25,26,27,18,5,6,7,41,42,43,38,39,40,10,37,21,159
52,43,30,31,32,33,34,35,36,37,13,20,48,49,50,15,16,17,18,19,28,11,12,26,6,7,41,42,21,22,45,46,47,14,23,24,25,9,10,44,1,2,3,4,5,8,0,27,40,38,39,29,43,196
52,29,30,31,32,33,45,46,47,48,49,50,15,16,17,18,19,20,21,22,23,24,25,41,42,43,44,6,7,8,9,10,11,12,26,27,28,39,40,36,37,38,3,4,5,35,1,2,13,14,0,34,29,131
52,5,6,7,25,9,10,11,12,26,27,28,49,50,15,16,17,18,19,20,21,22,45,46,47,1,2,3,4,44,36,37,38,13,14,23,24,40,41,42,43,30,31,32,33,34,35,39,8,0,48,29,5,174
52,42,43,30,31,32,33,34,35,36,9,10,11,2,3,4,5,6,7,8,46,47,48,49,50,15,38,39,40,41,16,17,18,19,20,21,22,23,24,25,26,27,28,29,0,1,37,13,14,44,45,12,42,88
52,37,38,39,40,41,42,43,30,31,32,33,34,35,36,28,29,4,44,45,46,47,48,49,50,0,1,6,7,8,9,10,11,2,3,25,26,27,24,23,20,21,22,16,17,18,19,14,15,12,13,5,37,147
52,24,23,20,21,22,45,46,47,33,34,35,36,28,29,30,31,32,25,41,42,43,44,49,50,15,16,17,18,19,6,7,8,9,10,11,12,13,14,0,1,2,3,4,5,40,38,39,37,48,26,27,24,180
52,48,49,50,15,16,17,40,41,42,43,30,31,32,33,34,35,36,29,4,5,6,7,8,9,10,11,12,13,14,0,1,2,3,39,37,38,22,23,20,21,27,28,18,19,24,25,26,44,45,46,47,48,140
